Index,Slice,Sub,For,UnaryOp,Exec,Invert,DictComp,Param,BitXor,Add,NotIn,Call,comprehension,IsNot,Print,Ellipsis,Subscript,BitOr,TryExcept,Store,Raise,Break,Return,GtE,Assert,Tuple,Repr,Or,ExceptHandler,BitAnd,FloorDiv,arguments,TryFinally,GeneratorExp,Not,UAdd,Delete,With,IfExp,Mult,Mod,BoolOp,RShift,Name,BinOp,Expr,SetComp,AugAssign,List,ClassDef,Yield,Set,While,Continue,Del,Str,USub,Div,Assign,FunctionDef,Lambda,And,ExtSlice,Compare,Gt,keyword,In,NotEq,Attribute,Is,Global,Lt,Module,Num,LtE,Pass,Dict,If,Eq,ListComp,LShift,Pow,LOC,Experience
0.008121-0.009047,0.00132-0.00151,0.000758-0.001161,0.003249-0.003901,0.003913-0.005296,0.000011-0.000018,0.000013-0.000014,ninf-0.000002,0.034283-0.040696,ninf-0.000001,0.002771-0.00349,0.0005-0.00065,0.083139-0.086936,0.001196-0.001574,0.001048-0.001293,0.002378-0.004248,ninf-0.000011,0.008955-0.010738,0.00021-0.000304,0.002336-0.002928,0.062247-0.06628,0.002885-0.004104,0.000427-0.000578,0.010356-0.011796,0.000258-0.000311,0.003074-0.010577,0.008359-0.010402,ninf-0.000003,0.000798-0.000935,0.003007-0.004876,0.00016-0.000237,0.000087-0.000128,0.021592-0.026004,0.000381-0.000679,ninf-0.000004,0.00373-0.005097,ninf-0.000001,0.000436-0.000561,ninf-0.000002,0.000003-0.000036,0.00024-0.000427,0.004564-0.005395,0.001991-0.002553,ninf-0.000002,0.308398-0.316505,0.007212-0.008714,0.032278-0.03717,ninf-0.000012,0.00113-0.00152,0.006202-0.007466,0.004771-0.006235,0.000595-0.000833,ninf-0.000006,0.000207-0.000328,0.000492-0.000701,0.000488-0.000622,0.056406-0.065492,0.000002-0.000028,ninf-0.000006,0.0487-0.051345,0.020528-0.024917,0.000211-0.000315,0.001393-0.001773,ninf-0,0.010795-0.012426,0.000388-0.000494,0.008623-0.01123,0.002067-0.002747,0.000375-0.000502,0.11043-0.117957,0.001537-0.001857,0.000072-0.000085,0.000189-0.000325,0.002696-0.003619,0.013091-0.017648,0.000003-0.000055,0.002327-1,0.000978-0.001599,0.01512-0.017015,0.002454-0.003437,0.001191-0.001534,0.000003-0.000022,ninf-0.000004,6910-27753,2
0.008121-0.009047,0.000934-0.00132,0.000388-0.000598,0.003249-0.003901,0.002478-0.002879,0.000007-0.000009,ninf-0.000001,0.000132-0.000158,0.027745-0.031068,0.000025-0.000027,0.001924-0.002771,0.000339-0.000419,0.093905-0.100964,0.001574-0.001887,0.000775-0.00089,0.000004-0.000309,ninf-0.000011,0.008955-0.010738,0.00007-0.0001,0.001335-0.001638,0.051254-0.056238,0.001942-0.002328,0.000125-0.000198,0.009209-0.010356,0.000258-0.000311,0.000149-0.000266,0.012813-0.01514,ninf-0.000003,0.000935-0.001177,0.001419-0.001685,0.000034-0.000055,0.000069-0.000087,0.018747-0.021592,0.000122-0.00016,0.000497-0.00073,0.002349-0.002777,ninf-0.000001,0.000223-0.00031,0.001339-0.002274,0.000497-0.00098,0.000547-0.00073,0.003568-0.004564,0.002553-0.00288,ninf-0.000002,0.303452-0.308398,0.007212-0.008714,0.03717-0.040081,0.000041-1,0.000626-0.000852,0.007466-0.009306,0.004771-0.006235,0.000356-0.000442,0.00026-0.000263,0.000141-0.000207,0.000323-0.000417,0.000251-0.000323,0.081394-0.091002,0.000065-0.000084,0.000068-0.000122,0.039783-0.043308,0.018228-0.020528,0.000371-0.00052,0.001393-0.001773,0-0.000003,0.005952-0.007773,0.000388-0.000494,0.016054-0.022799,0.000882-0.001154,0.000502-0.000639,0.117957-0.12952,0.00113-0.001365,0.000002-0.000024,0.000189-0.000325,0.001451-0.001739,0.021926-0.025974,0.000055-0.000091,0.000614-0.000756,0.007588-0.010506,0.010001-0.012088,0.001765-0.002454,0.000743-0.0009,0.000022-0.000028,0.00002-0.00004,27753-1,3
ninf-0.001469,ninf-0.000017,0.002021-0.004237,0.008847-1,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.034283-0.040696,ninf-0.000001,0.007777-0.010607,ninf-0.000015,0.106917-1,ninf-0.000018,ninf-0.000009,0.013213-1,ninf-0.000011,ninf-0.001655,ninf-0.000002,0.001999-0.002336,0.039312-0.051254,0.001942-0.002328,ninf-0.000002,0.004124-0.005893,ninf-0.000003,ninf-0.000011,ninf-0.000405,ninf-0.000003,ninf-0.00003,0.002098-0.002417,ninf-0.000003,ninf-0.000001,0.026004-1,0.000679-1,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,ninf-0.000037,ninf-0.000061,ninf-0.000002,0.303452-0.308398,0.001314-0.004263,0.048113-1,ninf-0.000012,0.006174-1,ninf-0.000317,ninf-0.000065,ninf-0.000004,ninf-0.000006,0.001047-0.002293,ninf-0.000005,ninf-0.000004,0.038442-0.056406,ninf-0.000002,ninf-0.000006,ninf-0.031604,0.024917-1,ninf-0.000008,ninf-0.000033,ninf-0,0.005952-0.007773,0.00289-1,ninf-0.00009,ninf-0.000059,ninf-0.000033,0.090544-0.100754,ninf-0.000026,0.00098-1,ninf-0.00002,0.008368-1,0.068075-1,ninf-0.000003,0.001576-0.002327,ninf-0.000156,ninf-0.003641,0.001765-0.002454,ninf-0.000018,ninf-0.000003,ninf-0.000004,101-182.5,2
0.013005-0.016557,0.000934-0.00132,0.000758-0.001161,0.004662-0.00612,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.040696-1,ninf-0.000001,0.004471-0.006005,0.000884-0.001505,0.053928-0.06584,0.001887-0.00404,0.00089-0.001048,ninf-0.000004,ninf-0.000011,0.014775-0.018124,ninf-0.000002,ninf-0.000024,0.079078-0.086378,ninf-0.000029,ninf-0.000002,0.016534-1,ninf-0.000003,ninf-0.000011,0.012813-0.01514,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,0.026004-1,ninf-0.000005,0.000952-1,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,0.00098-0.002126,ninf-0.00001,0.001731-0.002739,ninf-0.000061,ninf-0.000002,0.327361-1,0.007212-0.008714,ninf-0.010996,ninf-0.000012,ninf-0.00003,0.00262-0.003706,0.004771-0.006235,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,ninf-0.038442,ninf-0.000002,ninf-0.000006,0.054657-0.060382,0.024917-1,0.002019-1,ninf-0.000033,ninf-0,0.007773-0.008848,0.00289-1,0.008623-0.01123,0.000882-0.001154,ninf-0.000033,0.067929-0.08166,0.001857-0.002315,ninf-0.000002,ninf-0.00002,0.005271-0.008368,ninf-0.006671,ninf-0.000003,ninf-0.000041,0.010506-1,0.007681-0.010001,ninf-0.000418,ninf-0.000018,ninf-0.000003,ninf-0.000004,182.5-396,2
0.005604-0.008121,0.000017-0.000377,ninf-0.000029,0.000075-0.001371,0.000059-0.000842,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.004754-0.012599,ninf-0.000001,0.000163-0.001924,0.000339-0.000419,ninf-0.053928,0.000018-0.000302,0.00032-0.000559,0.000945-0.001685,ninf-0.000011,0.006521-0.008955,ninf-0.000002,0.000736-0.001082,ninf-0.039312,ninf-0.000029,ninf-0.000002,0.000426-0.004124,ninf-0.000003,ninf-0.000011,0.020882-1,ninf-0.000003,0.00003-0.000336,0.000778-0.001082,ninf-0.000003,ninf-0.000001,0.005025-0.008199,0.000057-0.000088,0.000053-0.000088,0.000059-0.000767,ninf-0.000001,ninf-0.000004,ninf-0.000002,0.000036-0.00008,ninf-0.00001,0.000895-0.001731,0.000061-0.000784,ninf-0.000002,ninf-0.231679,0.001314-0.004263,ninf-0.010996,ninf-0.000012,0.00003-0.00035,0.015281-1,0.001772-0.002313,0.000092-0.000179,ninf-0.000006,0.000004-0.000141,0.000167-0.000222,ninf-0.000004,0.149165-1,ninf-0.000002,ninf-0.000006,ninf-0.031604,ninf-0.004927,0.000315-0.000371,0.000033-0.000529,ninf-0,0.002703-0.005952,0.000227-0.000388,0.016054-0.022799,0.000059-0.000533,0.000033-0.000375,ninf-0.04689,0.000026-0.000324,ninf-0.000002,ninf-0.00002,0.002091-0.002696,0.006671-0.010592,0.000118-0.000181,0.000041-0.000256,0.010506-1,ninf-0.003641,0.000418-0.001765,0.000018-0.00026,ninf-0.000003,ninf-0.000004,1513-3348,2
ninf-0.001469,0.000017-0.000377,ninf-0.000029,ninf-0.000075,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.004754-0.012599,ninf-0.000001,0.000163-0.001924,ninf-0.000015,0.078307-0.083139,ninf-0.000018,ninf-0.000009,0.000309-0.000562,ninf-0.000011,ninf-0.001655,ninf-0.000002,ninf-0.000024,0.086378-1,ninf-0.000029,ninf-0.000002,ninf-0.000426,ninf-0.000003,ninf-0.000011,0.012813-0.01514,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,0.008199-0.010622,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,0.000895-0.001731,ninf-0.000061,ninf-0.000002,0.294999-0.303452,ninf-0.001314,0.032278-0.03717,ninf-0.000012,ninf-0.00003,0.000317-0.00262,0.006235-1,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.081394-0.091002,ninf-0.000002,ninf-0.000006,0.071768-1,0.007915-0.010171,ninf-0.000008,ninf-0.000033,ninf-0,ninf-0.002703,ninf-0.00002,0.033022-1,ninf-0.000059,ninf-0.000033,0.11043-0.117957,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.002696-0.003619,0.025974-0.032538,ninf-0.000003,0.002327-1,0.00236-0.003036,ninf-0.003641,ninf-0.000418,ninf-0.000018,ninf-0.000003,ninf-0.000004,396-912,3
0.008121-0.009047,0.001823-0.002453,0.000758-0.001161,0.002763-0.003249,0.003363-0.003913,0.000007-0.000009,0.000006-0.000009,ninf-0.000002,0.022617-0.027745,0.000377-1,0.006005-0.007777,0.000419-0.0005,0.06584-0.07328,0.000706-0.000906,0.001048-0.001293,0.002378-0.004248,ninf-0.000011,0.010738-0.012003,0.00021-0.000304,0.002928-0.004392,0.071344-0.079078,0.001942-0.002328,0.000427-0.000578,0.009209-0.010356,0.000192-0.000258,0.001489-0.003074,0.020882-1,0.000017-0.000021,0.001369-0.001658,0.003007-0.004876,0.000903-1,0.000008-0.000021,0.010622-0.013151,0.000194-0.00026,0.000088-0.000168,0.003174-0.00373,0.000001-0.000004,0.00031-0.000369,0.000002-0.000087,0.000036-0.00008,0.000547-0.00073,0.004564-0.005395,0.003282-0.003858,0.001-1,0.303452-0.308398,0.015629-0.019585,0.024468-0.028368,ninf-0.000012,0.00152-0.002492,0.006202-0.007466,0.002313-0.00276,0.000595-0.000833,ninf-0.000006,0.000421-0.000581,0.000417-0.000492,0.000323-0.000377,0.101596-0.115939,0.000041-0.000065,0.000122-0.000156,0.051345-0.054657,0.010171-0.012774,0.000371-0.00052,0.002055-0.002604,ninf-0,0.010795-0.012426,0.000494-0.000661,0.00649-0.008623,0.001766-0.002067,0.000779-0.000927,0.090544-0.100754,0.001365-0.001537,0.000048-0.000072,0.000631-0.000874,0.001046-0.001451,0.025974-0.032538,0.000181-0.000244,0.000416-0.000614,0.003036-0.003845,0.017015-0.019731,0.003437-0.004235,0.000743-0.0009,0.000049-0.000081,0.000004-0.00002,27753-1,3
0.0204-0.027826,0.000377-0.000659,0.000388-0.000598,0.001371-0.002201,0.000842-0.001511,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.034283-0.040696,ninf-0.000001,0.010607-0.019579,0.00065-0.000884,0.06584-0.07328,0.000018-0.000302,0.00032-0.000559,0.002378-0.004248,ninf-0.000011,0.022117-0.031296,ninf-0.000002,0.002928-0.004392,0.056238-0.059198,0.001942-0.002328,0.000239-0.000341,0.011796-0.013525,ninf-0.000003,ninf-0.000011,0.006334-0.008359,ninf-0.000003,0.000336-0.000623,0.003007-0.004876,ninf-0.000003,ninf-0.000001,0.018747-0.021592,0.00016-0.000194,ninf-0.000004,0.001474-0.001945,ninf-0.000001,ninf-0.000004,0.000002-0.000087,ninf-0.000003,0.00073-0.000965,0.000895-0.001731,0.001456-0.001991,ninf-0.000002,0.285928-0.294999,0.015629-0.019585,0.03717-0.040081,ninf-0.000012,0.00113-0.00152,0.000317-0.00262,0.004771-0.006235,ninf-0.000004,ninf-0.000006,0.000421-0.000581,0.000417-0.000492,ninf-0.000004,0.074667-0.081394,ninf-0.000002,ninf-0.000006,0.051345-0.054657,0.018228-0.020528,ninf-0.000008,0.001145-0.001393,ninf-0,0.012426-0.014205,0.000388-0.000494,0.008623-0.01123,0.001154-0.001435,0.002951-1,0.117957-0.12952,0.000324-0.000593,0.000085-0.000124,0.000325-0.000391,0.002091-0.002696,0.021926-0.025974,0.000118-0.000181,0.001161-0.001576,0.00236-0.003036,0.013741-0.01512,0.005407-0.006469,0.000018-0.00026,ninf-0.000003,ninf-0.000004,1513-3348,3
0.010605-0.013005,ninf-0.000017,ninf-0.000029,0.000075-0.001371,0.000842-0.001511,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.017172-0.019736,ninf-0.000001,0.004471-0.006005,ninf-0.000015,0.100964-0.106917,0.000906-0.001196,ninf-0.000009,ninf-0.000004,ninf-0.000011,0.012003-0.014775,ninf-0.000002,0.000736-0.001082,0.056238-0.059198,ninf-0.000029,ninf-0.000002,0.000426-0.004124,ninf-0.000003,ninf-0.000011,0.010402-0.012813,ninf-0.000003,ninf-0.00003,0.000778-0.001082,ninf-0.000003,ninf-0.000001,0.017168-0.018747,ninf-0.000005,0.000497-0.00073,0.000767-0.001474,ninf-0.000001,ninf-0.000004,0.00036-0.000653,ninf-0.000003,ninf-0.00001,0.010117-1,ninf-0.000061,ninf-0.000002,0.260055-0.277944,0.015629-0.019585,0.048113-1,ninf-0.000012,ninf-0.00003,0.000317-0.00262,0.003943-0.004771,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.101596-0.115939,ninf-0.000002,0.00083-0.001238,0.054657-0.060382,0.018228-0.020528,ninf-0.000008,ninf-0.000033,ninf-0,ninf-0.002703,ninf-0.00002,0.013592-0.016054,0.000059-0.000533,ninf-0.000033,0.143832-1,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.005271-0.008368,0.010592-0.013091,ninf-0.000003,ninf-0.000041,0.005342-0.007588,ninf-0.003641,0.000418-0.001765,0.000411-0.000534,ninf-0.000003,ninf-0.000004,182.5-396,2
0.0204-0.027826,0.003509-1,ninf-0.000029,0.004662-0.00612,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.019736-0.022617,ninf-0.000001,0.004471-0.006005,ninf-0.000015,0.093905-0.100964,ninf-0.000018,ninf-0.000009,0.013213-1,ninf-0.000011,0.031296-1,ninf-0.000002,ninf-0.000024,0.039312-0.051254,ninf-0.000029,ninf-0.000002,0.004124-0.005893,ninf-0.000003,ninf-0.000011,ninf-0.000405,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,0.018747-0.021592,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,0.010117-1,ninf-0.000061,ninf-0.000002,0.231679-0.260055,0.028159-1,0.024468-0.028368,ninf-0.000012,ninf-0.00003,0.00466-0.005684,ninf-0.000065,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.115939-0.149165,ninf-0.000002,ninf-0.000006,0.043308-0.045978,0.018228-0.020528,ninf-0.000008,ninf-0.000033,ninf-0,0.014205-0.016621,0.00289-1,ninf-0.00009,0.003986-1,ninf-0.000033,0.090544-0.100754,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.003619-0.005271,0.025974-0.032538,ninf-0.000003,ninf-0.000041,ninf-0.000156,0.013741-0.01512,0.004235-0.005407,ninf-0.000018,ninf-0.000003,ninf-0.000004,ninf-44.5,2
0.027826-1,ninf-0.000017,0.001497-0.002021,0.002201-0.002763,0.001511-0.001963,ninf-0.000002,ninf-0.000001,ninf-0.000002,ninf-0.004754,ninf-0.000001,0.001924-0.002771,ninf-0.000015,0.100964-0.106917,ninf-0.000018,ninf-0.000009,0.007282-0.013213,ninf-0.000011,0.031296-1,ninf-0.000002,0.002928-0.004392,0.056238-0.059198,ninf-0.000029,ninf-0.000002,0.007496-0.009209,ninf-0.000003,ninf-0.000011,0.000405-0.003461,ninf-0.000003,0.000798-0.000935,0.003007-0.004876,ninf-0.000003,ninf-0.000001,0.005025-0.008199,ninf-0.000005,ninf-0.000004,0.001474-0.001945,ninf-0.000001,ninf-0.000004,0.000653-0.000922,ninf-0.000003,0.004063-1,0.007084-0.010117,0.000784-0.001456,ninf-0.000002,0.231679-0.260055,0.019585-0.028159,0.024468-0.028368,ninf-0.000012,0.00152-0.002492,0.006202-0.007466,ninf-0.000065,ninf-0.000004,ninf-0.000006,0.001047-0.002293,ninf-0.000005,ninf-0.000004,0.149165-1,ninf-0.000002,0.003621-1,0.045978-0.0487,0.004927-0.007915,ninf-0.000008,ninf-0.000033,ninf-0,0.002703-0.005952,0.000817-0.001136,0.033022-1,ninf-0.000059,ninf-0.000033,0.100754-0.11043,ninf-0.000026,ninf-0.000002,0.000874-0.001251,0.002696-0.003619,0.010592-0.013091,ninf-0.000003,0.000911-0.001161,0.005342-0.007588,0.003641-0.007681,0.003437-0.004235,ninf-0.000018,ninf-0.000003,ninf-0.000004,182.5-396,2
0.027826-1,ninf-0.000017,ninf-0.000029,0.000075-0.001371,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.017172-0.019736,ninf-0.000001,0.004471-0.006005,ninf-0.000015,0.06584-0.07328,ninf-0.000018,ninf-0.000009,0.007282-0.013213,ninf-0.000011,0.031296-1,ninf-0.000002,0.001999-0.002336,0.039312-0.051254,0.001942-0.002328,0.00076-0.001521,0.007496-0.009209,ninf-0.000003,ninf-0.000011,ninf-0.000405,ninf-0.000003,ninf-0.00003,0.002098-0.002417,ninf-0.000003,ninf-0.000001,0.005025-0.008199,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,0.002739-0.003568,ninf-0.000061,ninf-0.000002,0.231679-0.260055,0.007212-0.008714,0.021139-0.024468,ninf-0.000012,ninf-0.00003,ninf-0.000317,0.001772-0.002313,ninf-0.000004,ninf-0.000006,0.001047-0.002293,ninf-0.000005,ninf-0.000004,0.115939-0.149165,ninf-0.000002,ninf-0.000006,0.043308-0.045978,0.004927-0.007915,ninf-0.000008,ninf-0.000033,ninf-0,0.014205-0.016621,ninf-0.00002,0.013592-0.016054,0.003986-1,ninf-0.000033,0.12952-0.143832,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.001046-0.001451,ninf-0.006671,ninf-0.000003,0.000911-0.001161,0.007588-0.010506,0.019731-0.023678,0.007682-0.011707,ninf-0.000018,ninf-0.000003,ninf-0.000004,101-182.5,3
0.016557-0.0204,0.00151-0.001823,0.000206-0.000388,0.000075-0.001371,0.002478-0.002879,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.034283-0.040696,ninf-0.000001,0.007777-0.010607,0.0005-0.00065,0.07328-0.078307,0.001887-0.00404,0.001293-0.00206,ninf-0.000004,ninf-0.000011,0.018124-0.022117,ninf-0.000002,0.001999-0.002336,0.06628-0.071344,0.004104-1,ninf-0.000002,0.011796-0.013525,ninf-0.000003,ninf-0.000011,0.008359-0.010402,ninf-0.000003,0.00224-1,0.002098-0.002417,ninf-0.000003,ninf-0.000001,0.017168-0.018747,ninf-0.000005,0.00073-0.000952,0.002349-0.002777,ninf-0.000001,0.00081-1,ninf-0.000002,ninf-0.000003,ninf-0.00001,0.003568-0.004564,0.004841-1,ninf-0.000002,0.316505-0.327361,0.010209-0.012911,0.021139-0.024468,ninf-0.000012,0.002492-0.00342,0.000317-0.00262,0.002313-0.00276,ninf-0.000004,ninf-0.000006,ninf-0.000004,0.000417-0.000492,0.000871-1,0.065492-0.074667,ninf-0.000002,ninf-0.000006,0.054657-0.060382,0.016945-0.018228,ninf-0.000008,0.002604-0.00301,ninf-0,0.014205-0.016621,0.000388-0.000494,0.003889-0.00649,0.000059-0.000533,0.002951-1,0.100754-0.11043,0.001365-0.001537,ninf-0.000002,ninf-0.00002,ninf-0.000727,0.006671-0.010592,0.000396-0.000529,0.000416-0.000614,0.003036-0.003845,0.019731-0.023678,0.006469-0.007682,0.0009-0.001191,ninf-0.000003,ninf-0.000004,101-182.5,3
0.013005-0.016557,0.001823-0.002453,0.002021-0.004237,0.003901-0.004662,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.022617-0.027745,ninf-0.000001,0.006005-0.007777,ninf-0.000015,0.093905-0.100964,0.000906-0.001196,0.001293-0.00206,0.000945-0.001685,ninf-0.000011,0.018124-0.022117,ninf-0.000002,0.004392-1,0.059198-0.062247,0.000391-0.000738,ninf-0.000002,0.009209-0.010356,0.000401-0.000623,ninf-0.000011,0.000405-0.003461,ninf-0.000003,ninf-0.00003,0.004876-1,ninf-0.000003,ninf-0.000001,0.017168-0.018747,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,0.00098-0.002126,0.000965-0.001248,0.001731-0.002739,ninf-0.000061,ninf-0.000002,0.285928-0.294999,0.012911-0.015629,0.03717-0.040081,ninf-0.000012,ninf-0.00003,0.00466-0.005684,0.003389-0.003943,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.065492-0.074667,ninf-0.000002,0.00038-0.00083,0.051345-0.054657,0.016945-0.018228,ninf-0.000008,ninf-0.000033,ninf-0,0.008848-0.010795,ninf-0.00002,0.008623-0.01123,ninf-0.000059,0.000502-0.000639,0.12952-0.143832,0.000324-0.000593,ninf-0.000002,0.000874-0.001251,0.005271-0.008368,0.025974-0.032538,ninf-0.000003,0.001576-0.002327,0.003845-0.005342,0.007681-0.010001,0.004235-0.005407,0.0009-0.001191,ninf-0.000003,ninf-0.000004,182.5-396,3
0.027826-1,0.000934-0.00132,ninf-0.000029,0.008847-1,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.004754-0.012599,ninf-0.000001,0.019579-1,0.001505-1,0.06584-0.07328,ninf-0.000018,ninf-0.000009,0.013213-1,ninf-0.000011,0.031296-1,ninf-0.000002,ninf-0.000024,0.086378-1,ninf-0.000029,ninf-0.000002,0.000426-0.004124,ninf-0.000003,ninf-0.000011,ninf-0.000405,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,0.005025-0.008199,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,0.002274-0.00468,ninf-0.000003,ninf-0.00001,0.002739-0.003568,ninf-0.000061,ninf-0.000002,0.308398-0.316505,0.015629-0.019585,0.016505-0.021139,ninf-0.000012,0.006174-1,ninf-0.000317,ninf-0.000065,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.065492-0.074667,ninf-0.000002,ninf-0.000006,0.060382-0.071768,0.007915-0.010171,ninf-0.000008,ninf-0.000033,ninf-0,0.014205-0.016621,0.001136-0.001603,0.008623-0.01123,ninf-0.000059,0.002951-1,ninf-0.04689,ninf-0.000026,ninf-0.000002,0.000874-0.001251,0.002696-0.003619,0.025974-0.032538,ninf-0.000003,0.001576-0.002327,ninf-0.000156,0.01512-0.017015,0.004235-0.005407,ninf-0.000018,ninf-0.000003,ninf-0.000004,101-182.5,1
0.001469-0.005604,0.001823-0.002453,0.000598-0.000758,0.001371-0.002201,0.001511-0.001963,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.040696-1,ninf-0.000001,0.002771-0.00349,0.00065-0.000884,0.06584-0.07328,0.001887-0.00404,0.000775-0.00089,0.000004-0.000309,ninf-0.000011,0.006521-0.008955,ninf-0.000002,0.001999-0.002336,0.062247-0.06628,0.004104-1,0.000125-0.000198,0.016534-1,ninf-0.000003,ninf-0.000011,0.008359-0.010402,ninf-0.000003,0.001369-0.001658,0.002098-0.002417,ninf-0.000003,ninf-0.000001,0.021592-0.026004,0.00016-0.000194,0.00073-0.000952,0.001474-0.001945,ninf-0.000001,ninf-0.000004,0.000922-0.001339,0.002126-1,0.00024-0.000427,0.004564-0.005395,0.003858-0.004841,ninf-0.000002,0.327361-1,0.008714-0.010209,0.03717-0.040081,ninf-0.000012,0.000852-0.00113,0.000317-0.00262,0.004771-0.006235,0.000442-0.000595,ninf-0.000006,0.000141-0.000207,ninf-0.000005,ninf-0.000004,0.081394-0.091002,ninf-0.000002,0.000156-0.000266,0.051345-0.054657,0.020528-0.024917,0.00122-0.002019,0.002604-0.00301,ninf-0,0.012426-0.014205,0.001136-0.001603,0.013592-0.016054,0.000882-0.001154,0.000779-0.000927,0.08166-0.090544,0.002315-1,ninf-0.000002,0.000483-0.000631,0.003619-0.005271,0.006671-0.010592,0.000118-0.000181,0.001161-0.001576,0.00236-0.003036,0.013741-0.01512,0.003437-0.004235,0.001534-0.003501,ninf-0.000003,ninf-0.000004,912-1513,3
0.010605-0.013005,0.00132-0.00151,0.001161-0.001497,0.002201-0.002763,0.005296-1,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.019736-0.022617,ninf-0.000001,0.007777-0.010607,0.000419-0.0005,0.086936-0.093905,0.000507-0.000706,0.001293-0.00206,0.000309-0.000562,ninf-0.000011,0.012003-0.014775,ninf-0.000002,0.001082-0.001335,0.039312-0.051254,0.004104-1,0.000002-0.000125,0.004124-0.005893,0.000311-0.000401,0.010577-1,0.01514-0.020882,ninf-0.000003,0.000935-0.001177,0.001082-0.001419,ninf-0.000003,0.000216-0.000408,0.013151-0.015069,0.000122-0.00016,0.000262-0.000497,0.005097-1,ninf-0.000001,0.000436-0.000561,0.00468-1,0.000346-0.000497,0.00024-0.000427,0.000037-0.000895,0.001991-0.002553,ninf-0.000002,0.294999-0.303452,0.008714-0.010209,0.021139-0.024468,ninf-0.000012,0.00035-0.000626,0.007466-0.009306,0.000065-0.001094,0.000092-0.000179,ninf-0.000006,0.000004-0.000141,0.000005-0.000167,0.000622-0.000871,0.056406-0.065492,0.000028-0.000041,0.000006-0.000068,0.031604-0.039783,0.012774-0.014738,0.000211-0.000315,0.001145-0.001393,0.000467-0.000871,0.021047-1,0.000227-0.000388,0.01123-0.013592,0.000533-0.000882,0.000927-0.001143,0.117957-0.12952,0.002315-1,0.000048-0.000072,0.001251-0.002446,0.000727-0.001046,0.045905-0.068075,0.000794-1,0.000041-0.000256,0.000978-0.001599,0.013741-0.01512,0.011707-1,0.000018-0.00026,ninf-0.000003,ninf-0.000004,3348-6910,2
